epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.182,1.55475,1.89799,1.43125,0.82622,0.73494,0.80341,0.45154,1.62728,1.42737,1.55337,0.000552058,0.000552058,0.000552058
2,1078.89,1.36672,1.09993,1.28419,0.8521,0.78647,0.85743,0.52593,1.49536,1.38736,1.48243,0.00108579,0.00108579,0.00108579
3,1740.18,1.32664,0.9971,1.25528,0.8908,0.78899,0.86151,0.53783,1.48514,1.275,1.45509,0.00159752,0.00159752,0.00159752
4,3530.98,1.30027,0.91019,1.23402,0.89367,0.81615,0.88019,0.57279,1.41681,1.2272,1.41376,0.00156798,0.00156798,0.00156798
5,5015.2,1.24959,0.85332,1.21965,0.9146,0.85157,0.90254,0.60189,1.30966,0.93746,1.35038,0.00153497,0.00153497,0.00153497
6,6079.28,1.23424,0.80594,1.20359,0.89967,0.8569,0.89818,0.60798,1.33969,0.98732,1.35444,0.00150197,0.00150197,0.00150197
7,6921.15,1.18863,0.75436,1.19329,0.9251,0.86293,0.91085,0.61539,1.28928,0.85199,1.33235,0.00146896,0.00146896,0.00146896
8,9935.53,1.15954,0.73443,1.18278,0.91155,0.85294,0.90654,0.62635,1.26027,0.8617,1.31582,0.00143595,0.00143595,0.00143595
9,10849.9,1.15568,0.71653,1.18099,0.92987,0.85499,0.90268,0.61484,1.26069,0.88059,1.31255,0.00140295,0.00140295,0.00140295
10,11713.4,1.12179,0.67946,1.16001,0.93198,0.87697,0.91689,0.63106,1.24753,0.76108,1.29977,0.00136994,0.00136994,0.00136994
11,12264.6,1.12223,0.66844,1.15664,0.93473,0.8785,0.92329,0.65677,1.21005,0.73492,1.28823,0.00133693,0.00133693,0.00133693
12,12761.8,1.08995,0.65026,1.14096,0.93724,0.89051,0.92592,0.66724,1.18636,0.71615,1.29095,0.00130393,0.00130393,0.00130393
13,13326.7,1.07868,0.64864,1.13645,0.93335,0.8843,0.92277,0.66051,1.18849,0.72152,1.28257,0.00127092,0.00127092,0.00127092
14,13972.3,1.0841,0.63365,1.1384,0.94224,0.88368,0.92821,0.68047,1.15424,0.73649,1.2672,0.00123791,0.00123791,0.00123791
15,14530.9,1.05514,0.61499,1.12316,0.94373,0.89708,0.93241,0.6818,1.1419,0.6578,1.25385,0.00120491,0.00120491,0.00120491
16,15184,1.03873,0.60926,1.11507,0.93969,0.88724,0.93157,0.68877,1.12589,0.68701,1.24825,0.0011719,0.0011719,0.0011719
17,16065.5,1.02752,0.59778,1.11019,0.94263,0.88812,0.92306,0.65928,1.16365,0.68013,1.26789,0.00113889,0.00113889,0.00113889
18,16781.6,1.02813,0.59635,1.1059,0.94971,0.89805,0.93533,0.69964,1.10077,0.65039,1.23596,0.00110589,0.00110589,0.00110589
19,17221.9,1.01689,0.58074,1.1109,0.94123,0.90129,0.93484,0.70126,1.07944,0.62942,1.22043,0.00107288,0.00107288,0.00107288
20,18274.1,1.00034,0.57446,1.09968,0.9491,0.89445,0.93512,0.69293,1.12053,0.63915,1.24051,0.00103987,0.00103987,0.00103987
21,18691.9,0.99312,0.56482,1.09907,0.94798,0.89952,0.93727,0.70718,1.07294,0.62348,1.22175,0.00100687,0.00100687,0.00100687
22,19568.8,0.98313,0.5577,1.09088,0.94979,0.90669,0.93851,0.71028,1.05521,0.60362,1.21113,0.000973861,0.000973861,0.000973861
23,20085.9,0.98062,0.55734,1.08656,0.95509,0.89695,0.93867,0.71471,1.05224,0.61594,1.21135,0.000940855,0.000940855,0.000940855
24,21039.8,0.95154,0.54379,1.07513,0.9532,0.90628,0.93839,0.70959,1.05158,0.59241,1.20257,0.000907848,0.000907848,0.000907848
25,21603.4,0.95617,0.54655,1.078,0.95249,0.90477,0.94005,0.72173,1.02484,0.59454,1.19399,0.000874842,0.000874842,0.000874842
26,22430.2,0.95719,0.53486,1.07418,0.9534,0.90747,0.94026,0.71521,1.04525,0.58737,1.20644,0.000841835,0.000841835,0.000841835
27,23251.6,0.94888,0.52517,1.07078,0.95647,0.91323,0.94418,0.74023,1.00117,0.56567,1.17715,0.000808828,0.000808828,0.000808828
